Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,9.9,"Short, Comedy, Fantasy            ","['George Miller', 'Zeeq', 'Artemis Holdenberry', 'Bloody Hairy']",12 min
Game of Thrones,9.5,"Adventure, Drama, Fantasy            ","['Emilia Clarke', 'Peter Dinklage', 'Kit Harington', 'Lena Headey']",56 min
Breaking Bad,9.5,"Crime, Drama, Thriller            ","['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",49 min
The Wire,9.4,"Crime, Drama, Thriller            ","['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",59 min
TVF Pitchers,9.4,"Comedy, Drama            ","['Naveen Kasturia', 'Arunabh Kumar', 'Jitendra Kumar', 'Abhay Mahajan']",40 min
Rick and Morty,9.3,"Animation, Adventure, Comedy            ","['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",22 min
Sherlock,9.2,"Crime, Drama, Mystery            ","['Benedict Cumberbatch', 'Martin Freeman', 'Una Stubbs', 'Rupert Graves']",88 min
The Sopranos,9.2,"Crime, Drama            ","['James Gandolfini', 'Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",55 min
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure            ","['Dee Bradley Baker', 'Zach Tyler', 'Mae Whitman', 'Jack De Sena']",23 min
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama            ","['Ali Atay', 'Cengiz Bozkurt', 'Serkan Keskin', 'Osman Sonant']",80 min
Sarabhai vs Sarabhai,9.2,Comedy            ,"['Satish Shah', 'Ratna Pathak', 'Sumeet Raghvan', 'Rupali Ganguly']",30 min
Taboo,9.1,Drama            ,"['Tom Hardy', 'David Hayman', 'Jonathan Pryce', 'Oona Chaplin']",59 min
Westworld,9.1,"Drama, Mystery, Sci-Fi            ","['Evan Rachel Wood', 'Jeffrey Wright', 'Ed Harris', 'Thandie Newton']",60 min
True Detective,9.1,"Crime, Drama, Mystery            ","['Vince Vaughn', 'Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",55 min
Firefly,9.1,"Adventure, Drama, Sci-Fi            ","['Nathan Fillion', 'Gina Torres', 'Alan Tudyk', 'Morena Baccarin']",44 min
Last Week Tonight with John Oliver,9.1,"Comedy, News, Talk-Show            ","['John Oliver', 'David Kaye', 'Noel MacNeal', 'Paul McGinnis']",30 min
One Punch Man: Wanpanman,9.1,"Animation, Action, Comedy            ","['Max Mittelman', 'Makoto Furukawa', 'Kaito Ishikawa', 'Zach Aguilar']",24 min
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure            ","['Kent Williams', 'Iemasa Kayumi', 'Vic Mignogna', 'Romi Pak']",24 min
Stranger Things,9.0,"Drama, Fantasy, Horror            ","['Winona Ryder', 'David Harbour', 'Finn Wolfhard', 'Millie Bobby Brown']",55 min
House of Cards,9.0,Drama            ,"['Kevin Spacey', 'Michel Gill', 'Robin Wright', 'Kate Mara']",51 min
Friends,9.0,"Comedy, Romance            ","['Jennifer Aniston', 'Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",22 min
The Grand Tour,9.0,"Comedy, Talk-Show            ","['Jeremy Clarkson', 'Richard Hammond', 'James May', 'Mike Skinner']",71 min
Fargo,9.0,"Crime, Drama, Thriller            ","['Billy Bob Thornton', 'Martin Freeman', 'Allison Tolman', 'Colin Hanks']",53 min
Skam,9.0,Drama            ,"['Josefine Frida Pettersen', 'Iman Meskini', 'Lisa Teige', 'Tarjei Sandvik Moe']",30 min
Arrested Development,9.0,Comedy            ,"['Jason Bateman', 'Michael Cera', 'Portia de Rossi', 'Will Arnett']",22 min
The Twilight Zone,9.0,"Fantasy, Horror, Mystery            ","['Rod Serling', 'Robert McCord', 'Jay Overholts', 'Vaughn Taylor']",51 min
Death Note: Desu nôto,9.0,"Animation, Crime, Drama            ","['Mamoru Miyano', 'Brad Swaile', 'Vincent Tong', 'Ry\xc3\xb4 Nait\xc3\xb4']",24 min
Batman: The Animated Series,9.0,"Animation, Action, Adventure            ","['Kevin Conroy', 'Loren Lester', 'Efrem Zimbalist Jr.', 'Bob Hastings']",23 min
Kaubôi bibappu,9.0,"Animation, Action, Adventure            ","['K\xc3\xb4ichi Yamadera', 'Unsh\xc3\xb4 Ishizuka', 'Megumi Hayashibara', 'Steve Blum']",24 min
Black Mirror,8.9,"Drama, Sci-Fi, Thriller            ","['Chris Martin Hill', 'Hannah John-Kamen', 'Beatrice Robertson-Jones', 'Paul Blackwell']",60 min
This Is Us,8.9,"Comedy, Drama            ","['Milo Ventimiglia', 'Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",45 min
The Crown,8.9,"Drama, History            ","['Claire Foy', 'Matt Smith', 'Vanessa Kirby', 'Jeremy Northam']",52 min
Narcos,8.9,"Biography, Crime, Drama            ","['Wagner Moura', 'Boyd Holbrook', 'Pedro Pascal', 'Paulina Gaitan']",49 min
Twin Peaks,8.9,"Crime, Drama, Mystery            ","['Kyle MacLachlan', 'Michael Ontkean', 'M\xc3\xa4dchen Amick', 'Dana Ashbrook']",47 min
Seinfeld,8.9,Comedy            ,"['Jerry Seinfeld', 'Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",22 min
