id,FillKey,country_or_area,GDP,GDP_in_billions
AFG,0,Afghanistan,668.000.000.000.000,668000
ALB,0,Albania,46.400.000.000.000,46400
DZA,0,Algeria,548.000.000.000.000,548000
AND,0,Andorra,450.000.000.000.000,450000
AGO,0,Angola,605.000.000.000.000,605000
AIA,0,Anguilla,215.000.000.000.000,215000
ATG,0,Antigua and Barbuda,13.700.000.000.000,13700
ARG,0,Argentina,12.600.000.000.000,12600
ARM,0,Armenia,36.200.000.000.000,36200
ABW,0,Aruba,258.000.000.000.000,258000
AUS,0,Australia,623.000.000.000.000,623000
AUT,0,Austria,513.000.000.000.000,513000
AZE,0,Azerbaijan,781.000.000.000.000,781000
BHS,0,Bahamas,222.000.000.000.000,222000
BHR,0,Bahrain,249.000.000.000.000,249000
BGD,0,Bangladesh,10.900.000.000.000,10900
BRB,0,Barbados,154.000.000.000.000,154000
BLR,0,Belarus,801.000.000.000.000,801000
BEL,0,Belgium,47.300.000.000.000,47300
BLZ,0,Belize,483.000.000.000.000,483000
BEN,0,Benin,90.300.000.000.000,90300
BMU,0,Bermuda,898.000.000.000.000,898000
BTN,0,Bhutan,257.000.000.000.000,257000
BOL,0,Bolivia (Plurinational State of),312.000.000.000.000,312000
BIH,0,Bosnia and Herzegovina,484.000.000.000.000,484000
BWA,0,Botswana,712.000.000.000.000,712000
BRA,0,Brazil,114.000.000.000.000,114000
IOT,0,British Virgin Islands,305.000.000.000.000,305000
BRN,0,Brunei Darussalam,410.000.000.000.000,410000
BGR,0,Bulgaria,788.000.000.000.000,788000
BFA,0,Burkina Faso,725.000.000.000.000,725000
BDI,0,Burundi,265.000.000.000.000,265000
CPV,0,Cabo Verde,361.000.000.000.000,361000
KHM,0,Cambodia,109.000.000.000.000,109000
CMR,0,Cameroon,141.000.000.000.000,141000
CAN,0,Canada,502.000.000.000.000,502000
CYM,0,Cayman Islands,58.800.000.000.000,58800
CAF,0,Central African Republic,383.000.000.000.000,383000
TCD,0,Chad,941.000.000.000.000,941000
CHL,0,Chile,145.000.000.000.000,145000
CHN,0,China,762.000.000.000.000,762000
COL,0,Colombia,79.000.000.000.000,79000
COM,0,Comoros,841.000.000.000.000,841000
COG,0,Congo,312.000.000.000.000,312000
COK,0,Cook Islands,150.000.000.000.000,150000
CRI,0,Costa Rica,104.000.000.000.000,104000
CIV,0,Cote d'Ivoire,155.000.000.000.000,155000
HRV,0,Croatia,134.000.000.000.000,134000
CUB,0,Cuba,727.000.000.000.000,727000
CUW,0,Curacao,203.000.000.000.000,203000
CYP,0,Cyprus,261.000.000.000.000,261000
CZE,0,Czech Republic,195.000.000.000.000,195000
PRK,0,Korea,696.000.000.000.000,696000
DNK,0,Denmark,613.000.000.000.000,613000
DJI,0,Djibouti,181.000.000.000.000,181000
DMA,0,Dominica,736.000.000.000.000,736000
DOM,0,Dominican Republic,615.000.000.000.000,615000
ECU,0,Ecuador,635.000.000.000.000,635000
EGY,0,Egypt,315.000.000.000.000,315000
SLV,0,El Salvador,412.000.000.000.000,412000
GNQ,0,Equatorial Guinea,204.000.000.000.000,204000
ERI,0,Eritrea,755.000.000.000.000,755000
EST,0,Estonia,20.100.000.000.000,20100
ETH,0,Ethiopia,553.000.000.000.000,553000
FJI,0,Fiji,511.000.000.000.000,511000
FIN,0,Finland,497.000.000.000.000,497000
FRA,0,France,427.000.000.000.000,427000
PYF,0,French Polynesia,20.100.000.000.000,20100
GAB,0,Gabon,103.000.000.000.000,103000
GMB,0,Gambia,441.000.000.000.000,441000
GEO,0,Georgia,410.000.000.000.000,410000
DEU,0,Germany,480.000.000.000.000,480000
GHA,0,Ghana,13.900.000.000.000,13900
GRC,0,Greece,214.000.000.000.000,214000
GRL,0,Greenland,434.000.000.000.000,434000
GRD,0,Grenada,83.100.000.000.000,83100
GTM,0,Guatemala,367.000.000.000.000,367000
GIN,0,Guinea,536.000.000.000.000,536000
GNB,0,Guinea-Bissau,672.000.000.000.000,672000
GUY,0,Guyana,404.000.000.000.000,404000
HTI,0,Haiti,813.000.000.000.000,813000
HND,0,Honduras,245.000.000.000.000,245000
HUN,0,Hungary,140.000.000.000.000,140000
ISL,0,Iceland,520.000.000.000.000,520000
IND,0,India,159.000.000.000.000,159000
IDN,0,Indonesia,34.900.000.000.000,34900
IRN,0,Iran,544.000.000.000.000,544000
IRQ,0,Iraq,639.000.000.000.000,639000
IRL,0,Ireland,536.000.000.000.000,536000
ISR,0,Israel,385.000.000.000.000,385000
ITA,0,Italy,35.800.000.000.000,35800
JAM,0,Jamaica,50.000.000.000.000,50000
JPN,0,Japan,363.000.000.000.000,363000
JOR,0,Jordan,483.000.000.000.000,483000
KAZ,0,Kazakhstan,124.000.000.000.000,124000
KEN,0,Kenya,136.000.000.000.000,136000
KIR,0,Kiribati,163.000.000.000.000,163000
KWT,0,Kuwait,436.000.000.000.000,436000
KGZ,0,Kyrgyzstan,127.000.000.000.000,127000
LAO,0,Lao People's Democratic Republic,17.600.000.000.000,17600
LVA,0,Latvia,157.000.000.000.000,157000
LBN,0,Lebanon,884.000.000.000.000,884000
LSO,0,Lesotho,986.000.000.000.000,986000
LBR,0,Liberia,483.000.000.000.000,483000
LBY,0,Libya,660.000.000.000.000,660000
LIE,0,Liechtenstein,157.000.000.000.000,157000
LTU,0,Lithuania,166.000.000.000.000,166000
LUX,0,Luxembourg,117.000.000.000.000,117000
MDG,0,Madagascar,453.000.000.000.000,453000
MWI,0,Malawi,343.000.000.000.000,343000
MYS,0,Malaysia,109.000.000.000.000,109000
MDV,0,Maldives,8.480.000.000.000,8480
MLI,0,Mali,701.000.000.000.000,701000
MLT,0,Malta,252.000.000.000.000,252000
MHL,0,Marshall Islands,395.000.000.000.000,395000
MRT,0,Mauritania,128.000.000.000.000,128000
MUS,0,Mauritius,995.000.000.000.000,995000
MEX,0,Mexico,103.000.000.000.000,103000
FSM,0,Micronesia (Federated States of),296.000.000.000.000,296000
MCO,0,Monaco,188.000.000.000.000,188000
MNG,0,Mongolia,415.000.000.000.000,415000
MNE,0,Montenegro,734.000.000.000.000,734000
MSR,0,Montserrat,124.000.000.000.000,124000
MAR,0,Morocco,324.000.000.000.000,324000
MOZ,0,Mozambique,628.000.000.000.000,628000
MMR,0,Myanmar,124.000.000.000.000,124000
NAM,0,Namibia,559.000.000.000.000,559000
NRU,0,Nauru,17.900.000.000.000,17900
NPL,0,Nepal,69.200.000.000.000,69200
NLD,0,Netherlands,521.000.000.000.000,521000
NCL,0,New Caledonia,39.400.000.000.000,39400
NZL,0,New Zealand,442.000.000.000.000,442000
NIC,0,Nicaragua,19.600.000.000.000,19600
NER,0,Niger,427.000.000.000.000,427000
NGA,0,Nigeria,320.000.000.000.000,320000
NOR,0,Norway,972.000.000.000.000,972000
OMN,0,Oman,193.000.000.000.000,193000
PAK,0,Pakistan,136.000.000.000.000,136000
PLW,0,Palau,111.000.000.000.000,111000
PAN,0,Panama,127.000.000.000.000,127000
PNG,0,Papua New Guinea,222.000.000.000.000,222000
PRY,0,Paraguay,473.000.000.000.000,473000
PER,0,Peru,652.000.000.000.000,652000
PHL,0,Philippines,287.000.000.000.000,287000
POL,0,Poland,141.000.000.000.000,141000
PRT,0,Portugal,221.000.000.000.000,221000
PRI,0,Puerto Rico,281.000.000.000.000,281000
QAT,0,Qatar,975.000.000.000.000,975000
KOR,0,Republic of Korea,282.000.000.000.000,282000
MDA,0,Republic of Moldova,195.000.000.000.000,195000
ROU,0,Romania,101.000.000.000.000,101000
RUS,0,Russian Federation,129.000.000.000.000,129000
RWA,0,Rwanda,697.000.000.000.000,697000
KNA,0,Saint Kitts and Nevis,155.000.000.000.000,155000
LCA,0,Saint Lucia,765.000.000.000.000,765000
VCT,0,Saint Vincent and the Grenadines,667.000.000.000.000,667000
WSM,0,Samoa,4.290.000.000.000,4290
SMR,0,San Marino,584.000.000.000.000,584000
STP,0,Sao Tome and Principe,181.000.000.000.000,181000
SAU,0,Saudi Arabia,244.000.000.000.000,244000
SEN,0,Senegal,10.700.000.000.000,10700
SRB,0,Serbia,615.000.000.000.000,615000
SYC,0,Seychelles,158.000.000.000.000,158000
SLE,0,Sierra Leone,775.000.000.000.000,775000
SGP,0,Singapore,55.900.000.000.000,55900
SXM,0,Sint Maarten (Dutch part),281.000.000.000.000,281000
SVK,0,Slovakia,185.000.000.000.000,185000
SVN,0,Slovenia,240.000.000.000.000,240000
SLB,0,Solomon Islands,193.000.000.000.000,193000
SOM,0,Somalia,131.000.000.000.000,131000
ZAF,0,South Africa,648.000.000.000.000,648000
SSD,0,South Sudan,924.000.000.000.000,924000
ESP,0,Spain,299.000.000.000.000,299000
LKA,0,Sri Lanka,363.000.000.000.000,363000
PSE,0,State of Palestine,281.000.000.000.000,281000
SDN,0,Sudan,208.000.000.000.000,208000
SUR,0,Suriname,968.000.000.000.000,968000
SWZ,0,Swaziland,353.000.000.000.000,353000
SWE,0,Sweden,589.000.000.000.000,589000
CHE,0,Switzerland,854.000.000.000.000,854000
SYR,0,Syrian Arab Republic,182.000.000.000.000,182000
TJK,0,Tajikistan,111.000.000.000.000,111000
THA,0,Thailand,598.000.000.000.000,598000
MKD,0,The former Yugoslav Republic of Macedonia,54.500.000.000.000,54500
TLS,0,Timor-Leste,429.000.000.000.000,429000
TGO,0,Togo,64.300.000.000.000,64300
TON,0,Tonga,412.000.000.000.000,412000
TTO,0,Trinidad and Tobago,207.000.000.000.000,207000
TUN,0,Tunisia,426.000.000.000.000,426000
TUR,0,Turkey,103.000.000.000.000,103000
TKM,0,Turkmenistan,903.000.000.000.000,903000
TCA,0,Turks and Caicos Islands,236.000.000.000.000,236000
TUV,0,Tuvalu,380.000.000.000.000,380000
UGA,0,Uganda,727.000.000.000.000,727000
UKR,0,Ukraine,293.000.000.000.000,293000
ARE,0,United Arab Emirates,440.000.000.000.000,440000
GBR,0,United Kingdom of Great Britain and Northern Ireland,465.000.000.000.000,465000
TZA,0,United Republic of Tanzania: Mainland,952.000.000.000.000,952000
USA,0,United States,543.000.000.000.000,543000
URY,0,Uruguay,168.000.000.000.000,168000
UZB,0,Uzbekistan,214.000.000.000.000,214000
VUT,0,Vanuatu,314.000.000.000.000,314000
VEN,0,Venezuela (Bolivarian Republic of),166.000.000.000.000,166000
VNM,0,Viet Nam,201.000.000.000.000,201000
YEM,0,Yemen,14.200.000.000.000,14200
ZMB,0,Zambia,172.000.000.000.000,172000
ZWE,0,Zimbabwe,965.000.000.000.000,965000
