Entity,Year,Happiness,id,GDP
Afghanistan,2014,3.131,AFG,668
Albania,2014,4.814,ALB,4595
Algeria,2014,6.355,DZA,5496
Angola,2014,3.795,AGO,6014
Argentina,2014,6.671,ARG,13279
Armenia,2014,4.453,ARM,3862
Australia,2014,7.289,AUS,61437
Austria,2014,6.95,AUT,51471
Azerbaijan,2014,5.252,AZE,7813
Bahrain,2014,6.165,BHR,22497
Bangladesh,2014,4.636,BGD,1088
Belarus,2014,5.812,BLR,8011
Belgium,2014,6.855,BEL,47367
Belize,2014,5.956,BLZ,4884
Benin,2014,3.347,BEN,903
Bhutan,2014,4.939,BTN,2561
Bolivia,2014,5.865,BOL,3124
Bosnia and Herzegovina,2014,5.249,BIH,4852
Botswana,2014,4.031,BWA,7150
Brazil,2014,6.981,BRA,11729
Bulgaria,2014,4.438,BGR,30501
Burkina Faso,2014,3.481,BFA,7876
Burundi,2014,2.905,BDI,259
Cambodia,2014,3.883,KHM,1090
Cameroon,2014,4.24,CMR,1407
Canada,2014,7.304,CAN,50379
Chad,2014,3.46,TCD,942
Chile,2014,6.844,CHL,14566
China,2014,5.196,CHN,7692
Colombia,2014,6.449,COL,7918
Congo,2014,4.056,COG,3125
Costa Rica,2014,7.247,CRI,10437
Cote d'Ivoire,2014,3.57,CIV,1542
Croatia,2014,5.381,HRV,13412
Cyprus,2014,5.627,CYP,7088
Czech Republic,2014,6.484,CZE,19712
Denmark,2014,7.508,DNK,62388
Dominican Republic,2014,5.387,DOM,6147
Ecuador,2014,5.946,ECU,6432
Egypt,2014,4.885,EGY,3315
El Salvador,2014,5.857,SLV,4102
Estonia,2014,5.556,EST,19916
Ethiopia,2014,4.507,ETH,560
Finland,2014,7.385,FIN,49723
France,2014,6.467,FRA,42801
Gabon,2014,3.918,GAB,10317
Georgia,2014,4.288,GEO,4092
Germany,2014,6.984,DEU,48102
Ghana,2014,3.86,GHA,1397
Greece,2014,4.756,GRC,21460
Guatemala,2014,6.536,GTM,3667
Guinea,2014,3.412,GIN,723
Haiti,2014,3.889,HTI,819
Honduras,2014,5.056,HND,2449
Hungary,2014,5.181,HUN,14085
India,2014,4.424,IND,1580
Indonesia,2014,5.597,IDN,3500
Iran,2014,4.682,IRN,5443
Iraq,2014,4.542,IRQ,5465
Ireland,2014,7.018,IRL,54815
Israel,2014,7.401,ISR,38890
Italy,2014,6.027,ITA,35957
Jamaica,2014,5.311,JAM,4993
Japan,2014,5.923,JPN,38241
Jordan,2014,5.333,JOR,4831
Kazakhstan,2014,5.97,KAZ,12746
Kenya,2014,4.905,KEN,1368
Kuwait,2014,6.18,KWT,43339
Kyrgyzstan,2014,5.252,KGZ,1278
Latvia,2014,5.729,LVA,15744
Lebanon,2014,5.233,LBN,8676
Liberia,2014,4.571,LBR,458
Lithuania,2014,6.126,LTU,16657
Macedonia,2014,5.204,MKD,5474
Madagascar,2014,3.676,MDG,453
Malawi,2014,4.563,MWI,357
Malaysia,2014,5.963,MYS,11306
Mali,2014,3.975,MLI,842
Malta,2014,6.452,MLT,25704
Mauritania,2014,4.483,MRT,1434
Mauritius,2014,5.648,MUS,9943
Mexico,2014,6.68,MEX,10326
Mongolia,2014,4.825,MNG,4202
Montenegro,2014,5.283,MNE,7337
Myanmar,2014,4.786,MMR,1241
Namibia,2014,4.574,NAM,5349
Nepal,2014,4.975,NPL,701
Netherlands,2014,7.321,NLD,52148
New Zealand,2014,7.306,NZL,44207
Nicaragua,2014,6.275,NIC,1960
Niger,2014,4.181,NER,431
Norway,2014,7.444,NOR,96803
Pakistan,2014,5.436,PAK,1340
Panama,2014,6.631,PAN,12712
Paraguay,2014,5.119,PRY,4713
Peru,2014,5.866,PER,6538
Philippines,2014,5.313,PHL,2873
Poland,2014,5.75,POL,14116
Portugal,2014,5.127,PRT,22075
Puerto Rico,2014,7.039,PRI,27692
Romania,2014,5.727,ROU,10143
Russia,2014,6.037,RUS,14160
Rwanda,2014,3.596,RWA,697
Saudi Arabia,2014,6.278,SAU,24406
Senegal,2014,4.395,SEN,1043
Serbia,2014,5.113,SRB,6203
Sierra Leone,2014,4.5,SLE,794
Singapore,2014,7.062,SGP,55635
Slovakia,2014,6.139,SVK,18581
Slovenia,2014,5.678,SVN,23973
Somalia,2014,5.528,SOM,149
South Africa,2014,4.828,ZAF,6509
South Sudan,2014,3.832,SSD,1348
Spain,2014,6.456,ESP,29742
Sri Lanka,2014,4.268,LKA,3881
Sudan,2014,4.139,SDN,1762
Sweden,2014,7.239,SWE,9737
Switzerland,2014,7.493,CHE,85577
Tajikistan,2014,4.896,TJK,1113
Tanzania,2014,3.483,TZA,955
Thailand,2014,6.985,THA,5970
Togo,2014,2.839,TGO,643
Tunisia,2014,4.764,TUN,4277
Turkey,2014,5.58,TON,4122
Turkmenistan,2014,5.787,TUR,10299
Uganda,2014,3.77,UGA,750
Ukraine,2014,4.297,UKR,2967
United Arab Emirates,2014,6.54,ARE,44239
United Kingdom,2014,6.758,GBR,46615
United States,2014,7.151,USA,54447
Uruguay,2014,6.561,URY,16738
Uzbekistan,2014,6.049,UZB,2139
Venezuela,2014,6.136,VEN,11835
Vietnam,2014,5.085,VNM,2015
Yemen,2014,3.968,YEM,1299
Zambia,2014,4.346,ZMB,1726
Zimbabwe,2014,4.184,ZWE,931
